Te,ne,728/706,728/668
3.767298178979602e-01, 2.667042864326648e+18, 8.890099135221652e-02, 8.821546531232548e-01
3.767298178979602e-01, 2.992471312188848e+18, 8.580174766301980e-02, 8.501055085207269e-01
3.767298178979602e-01, 3.357608036245132e+18, 8.272097927115224e-02, 8.169463197661442e-01
3.767298178979602e-01, 3.767298178979589e+18, 7.967996814296265e-02, 7.828289088415810e-01
3.767298178979602e-01, 4.226978079673322e+18, 7.669923643989150e-02, 7.479309370918790e-01
3.767298178979602e-01, 4.742747411323311e+18, 7.379813834133660e-02, 7.124540434342026e-01
3.767298178979602e-01, 5.321450119597585e+18, 7.099453220941482e-02, 6.766207218299743e-01
3.767298178979602e-01, 5.970765237835940e+18, 6.830454489922444e-02, 6.406699252637629e-01
3.767298178979602e-01, 6.699308783156532e+18, 6.574243190044936e-02, 6.048514896978329e-01
3.767298178979602e-01, 7.516748085768933e+18, 6.332052924717654e-02, 5.694195867390518e-01
3.767298178979602e-01, 8.433930068571646e+18, 6.104928658015504e-02, 5.346255240030767e-01
3.767298178979602e-01, 9.463025179229549e+18, 5.893736597289464e-02, 5.007103017542706e-01
3.767298178979602e-01, 1.061768888461980e+19, 5.699178842564445e-02, 4.678973887868130e-01
3.767298178979602e-01, 1.191324287058017e+19, 5.521810927665073e-02, 4.363861890155307e-01
3.767298178979602e-01, 1.336687835137238e+19, 5.362060491103902e-02, 4.063466283881334e-01
3.767298178979602e-01, 1.499788418664912e+19, 5.220245561589460e-02, 3.779152025256836e-01
3.767298178979602e-01, 1.682790283290379e+19, 5.096591269427653e-02, 3.511926993390637e-01
3.767298178979602e-01, 1.888121752571853e+19, 4.991244146645012e-02, 3.262436639689881e-01
3.767298178979602e-01, 2.118507450354571e+19, 4.904283508573684e-02, 3.030975250330581e-01
3.767298178979602e-01, 2.377004454874053e+19, 4.835729684895088e-02, 2.817511702951507e-01
3.767298178979602e-01, 2.667042864326648e+19, 4.785549072856497e-02, 2.621726618506851e-01
3.767298178979602e-01, 2.992471312188848e+19, 4.753656120977055e-02, 2.443057250166935e-01
3.767298178979602e-01, 3.357608036245132e+19, 4.739912433816378e-02, 2.280746333994660e-01
3.767298178979602e-01, 3.767298178979589e+19, 4.744123241966314e-02, 2.133891403646225e-01
3.767298178979602e-01, 4.226978079673322e+19, 4.766031533195223e-02, 2.001491645670202e-01
3.767298178979602e-01, 4.742747411323311e+19, 4.805310213062413e-02, 1.882490119425079e-01
3.767298178979602e-01, 5.321450119597585e+19, 4.861552769180278e-02, 1.775809962469991e-01
3.767298178979602e-01, 5.970765237835940e+19, 4.934263052966888e-02, 1.680383945365381e-01
