Te,ne,728/706,728/668
2.000000000000000e-01, 2.362667518825828e+19, 4.232087282610211e-02, 5.747172076630207e-01
2.000000000000000e-01, 2.429140084601781e+19, 4.217507069395521e-02, 5.636722428518960e-01
2.000000000000000e-01, 2.497482825493628e+19, 4.203732533914500e-02, 5.528350392892234e-01
2.000000000000000e-01, 2.567748358019547e+19, 4.190762319979999e-02, 5.422055227740530e-01
2.000000000000000e-01, 2.639990779039232e+19, 4.178594807238272e-02, 5.317833895494145e-01
2.000000000000000e-01, 2.714265707402748e+19, 4.167228119888341e-02, 5.215681152273414e-01
2.000000000000000e-01, 2.790630326770971e+19, 4.156660134979893e-02, 5.115589639908498e-01
2.000000000000000e-01, 2.869143429640747e+19, 4.146888490271379e-02, 5.017549980233541e-01
2.000000000000000e-01, 2.949865462608898e+19, 4.137910591632353e-02, 4.921550871171428e-01
2.000000000000000e-01, 3.032858572909492e+19, 4.129723619976453e-02, 4.827579184140670e-01
2.000000000000000e-01, 3.118186656260415e+19, 4.122324537713629e-02, 4.735620062331440e-01
2.000000000000000e-01, 3.205915406056341e+19, 4.115710094712441e-02, 4.645657019416881e-01
2.000000000000000e-01, 3.296112363945332e+19, 4.109876833765774e-02, 4.557672038287148e-01
2.000000000000000e-01, 3.388846971828787e+19, 4.104821095555184e-02, 4.471645669414460e-01
2.000000000000000e-01, 3.484190625324115e+19, 4.100539023111760e-02, 4.387557128482549e-01
2.000000000000000e-01, 3.582216728731553e+19, 4.097026565773275e-02, 4.305384392937387e-01
2.000000000000000e-01, 3.683000751547707e+19, 4.094279482639836e-02, 4.225104297141789e-01
2.000000000000000e-01, 3.786620286568817e+19, 4.092293345532391e-02, 4.146692625842773e-01
2.000000000000000e-01, 3.893155109628726e+19, 4.091063541460684e-02, 4.070124205686137e-01
2.000000000000000e-01, 4.002687241017824e+19, 4.090585274609420e-02, 3.995372994539187e-01
2.000000000000000e-01, 4.115301008629711e+19, 4.090853567853568e-02, 3.922412168408788e-01
2.000000000000000e-01, 4.231083112884453e+19, 4.091863263815959e-02, 3.851214205767490e-01
2.000000000000000e-01, 4.350122693478725e+19, 4.093609025482437e-02, 3.781750969125122e-01
2.000000000000000e-01, 4.472511398013642e+19, 4.096085336391849e-02, 3.713993783708704e-01
2.000000000000000e-01, 4.598343452553381e+19, 4.099286500420417e-02, 3.647913513136234e-01
2.000000000000000e-01, 4.727715734169281e+19, 4.103206641181975e-02, 3.583480631992574e-01
2.000000000000000e-01, 4.860727845524606e+19, 4.107839701067495e-02, 3.520665295237865e-01
2.000000000000000e-01, 4.997482191557693e+19, 4.113179439949415e-02, 3.459437404398656e-01
2.000000000000000e-01, 5.138084058322960e+19, 4.119219433578104e-02, 3.399766670510963e-01
2.000000000000000e-01, 5.282641694049456e+19, 4.125953071699621e-02, 3.341622673803069e-01
2.000000000000000e-01, 5.431266392480577e+19, 4.133373555925636e-02, 3.284974920121755e-01
2.000000000000000e-01, 5.584072578558090e+19, 4.141473897388188e-02, 3.229792894121031e-01
2.000000000000000e-01, 5.741177896516823e+19, 4.150246914213263e-02, 3.176046109246772e-01
2.000000000000000e-01, 5.902703300458263e+19, 4.159685228848974e-02, 3.123704154562517e-01
2.000000000000000e-01, 6.068773147472014e+19, 4.169781265285057e-02, 3.072736738473607e-01
2.000000000000000e-01, 6.239515293377144e+19, 4.180527246201993e-02, 3.023113729416654e-01
2.000000000000000e-01, 6.415061191157632e+19, 4.191915190088810e-02, 2.974805193589762e-01
2.000000000000000e-01, 6.595545992166806e+19, 4.203936908369751e-02, 2.927781429807202e-01
2.000000000000000e-01, 6.781108650179099e+19, 4.216584002580544e-02, 2.882013001568069e-01
2.000000000000000e-01, 6.971892028369750e+19, 4.229847861635844e-02, 2.837470766434015e-01
2.000000000000000e-01, 7.168043009303836e+19, 4.243719659229374e-02, 2.794125902815884e-01
2.000000000000000e-01, 7.369712608019784e+19, 4.258190351408923e-02, 2.751949934271934e-01
2.000000000000000e-01, 7.577056088294962e+19, 4.273250674368062e-02, 2.710914751423074e-01
2.000000000000000e-01, 7.790233082181825e+19, 4.288891142496264e-02, 2.670992631592465e-01
2.000000000000000e-01, 8.009407712907136e+19, 4.305102046728516e-02, 2.632156256277607e-01
2.000000000000000e-01, 8.234748721229541e+19, 4.321873453235261e-02, 2.594378726563032e-01
2.000000000000000e-01, 8.466429595351181e+19, 4.339195202491782e-02, 2.557633576582096e-01
2.000000000000000e-01, 8.704628704485310e+19, 4.357056908766020e-02, 2.521894785134543e-01
2.000000000000000e-01, 8.949529436181027e+19, 4.375447960061296e-02, 2.487136785565923e-01
2.000000000000000e-01, 9.201320337511993e+19, 4.394357518549634e-02, 2.453334474012644e-01
